Source,Target,n,Weight
berlinpapers,anamcara2709,1,1
berlinpapers,bmi,1,1
berlinpapers,cdu,1,1
berlinpapers,cducsubt,1,1
berlinpapers,cdurlp,1,1
berlinpapers,debakelangela,1,1
berlinpapers,drumheadberlin,1,1
berlinpapers,fdp,1,1
berlinpapers,handelsblatt,1,1
berlinpapers,k,1,1
berlinpapers,marcobuschmann,1,1
berlinpapers,mechthildheil,1,1
berlinpapers,peteraltmaier,2,2
berlinwerbefrei,tagesschau,1,1
bernardopt,duezentekkal,1,1
bernardopt,kokolores20,1,1
bernardopt,steinbacherika,1,1
bernardopt,weissafd,1,1
bernd_buc,businessnews201,1,1
bernd_buc,cdu,1,1
bernd_buc,ickebindas,1,1
bernd_buc,jouwatch,1,1
bernd_buc,loriotfehlt,1,1
bernd_buc,ludhell123,1,1
bernd_buc,twittonium,1,1
bernd_sw57,cduberlin,1,1
berndfachinsson,regendelfin,1,1
bewirtschafter,armin,1,1
bewirtschafter,bbl,1,1
bewirtschafter,boev,1,1
bewirtschafter,book,1,1
bewirtschafter,buchmesse,1,1
bewirtschafter,buchreport,1,1
bewirtschafter,bundeskultur,1,1
bewirtschafter,kulturzeit,1,1
bewirtschafter,pen,1,1
bewirtschafter,stiftunglesen,1,1
bgedanke,bildamsonntag,1,1
bgedanke,cdu,1,1
bgillich,peteraltmaier,1,1
bienchen1309,kri,1,1
bienchen1309,welt,2,2
bigreiner,afdimbundestag,1,1
bigreiner,dr,1,1
bigreiner,gefluechteter,1,1
bigreiner,ralfluge,1,1
birnstinglausro,patrickbokanic,3,3
bjoernkipping,welt,1,1
blumeevolution,cdu,1,1
blumeevolution,prienkarin,1,1
bms187,afd,2,2
bms187,gunnar2steinolf,1,1
bms187,jockwurst,1,1
boersengott,afd,1,1
boersengott,annewill,1,1
boersengott,annewilltalk,1,1
boersengott,hartaberfair,1,1
boersengott,joerg,1,1
boersengott,maischberger,1,1
brunsrainer,dieterfrikadell,1,1
brunsrainer,ralf,1,1
bsod54609591,ulfposh,1,1
bsod54609591,welt,1,1
buddy_frieder,rettetregenwald,1,1
buttermaker_mr,ayranmaiden,1,1
buttermaker_mr,matthiasmeisner,1,1
buttermaker_mr,polizeisachsen,1,1
cantatedominum,jutta,1,1
carrabelloy,arminlaschet,1,1
carrabelloy,manuelbewarder,1,1
carrabelloy,welt,1,1
cathmessy,andvaka,1,1
cdu,csu,1,1
cdu,insm,1,1
cdu,juedische,1,1
cdu,prienkarin,1,1
cdu,robinalexander,1,1
cdu,welt,1,1
cdu_fraktion_th,thuerlandtag,1,1
cdu_thueringen,marionwalsmann,1,1
cdulsa,cdu,1,1
cdunds,kaiseefried,1,1
cedric_luechau,ju,1,1
ceglarm,clemensprill,1,1
ceglarm,senficon,1,1
ch2ch2ch2ch2ch2,bild,1,1
ch2ch2ch2ch2ch2,youtube,1,1
chat_atkins,alcesmoose,1,1
chat_atkins,dietersteffmann,1,1
chat_atkins,janarennsteig,1,1
chisnoria,kattascha,1,1
chmayer4,afd,1,1
chmayer4,hugomuellervogg,1,1
chmayer4,martinschulz,1,1
chmayer4,spdde,1,1
chrdorner,cdu,1,1
chrdorner,praktoretiker,1,1
chrischan72,karina,1,1
chrisspkoeln,algemeiner,1,1
chrisspkoeln,aufklaerer2017,3,3
chrisspkoeln,bamf,1,1
chrisspkoeln,barbarasteibl1,1,1
chrisspkoeln,cdu,7,7
chrisspkoeln,cducsubt,1,1
chrisspkoeln,danielmack,1,1
chrisspkoeln,eckartlohse,1,1
chrisspkoeln,emmanuelmacron,1,1
chrisspkoeln,faz,1,1
chrisspkoeln,faznet,1,1
chrisspkoeln,holincams,1,1
chrisspkoeln,ina56611,1,1
chrisspkoeln,kirchen,1,1
chrisspkoeln,krippmarie,2,2
chrisspkoeln,marga,1,1
chrisspkoeln,maxotte,2,2
chrisspkoeln,mdraktuell,1,1
chrisspkoeln,meckgeorg,1,1
chrisspkoeln,merkel,1,1
chrisspkoeln,mitschalexander,1,1
chrisspkoeln,moritzmichelson,1,1
chrisspkoeln,olivergeorgi,1,1
chrisspkoeln,peteraltmaier,1,1
chrisspkoeln,proasyl,1,1
chrisspkoeln,rahaase,1,1
chrisspkoeln,steinbacherika,2,2
chrisspkoeln,wasistzeitgeist,1,1
chrisspkoeln,wearewe9,1,1
chrisspkoeln,welt,1,1
chrisspkoeln,woli2017,3,3
chvkg,bild,1,1
chvkg,jreichelt,1,1
chzamaitat,augstein,1,1
chzamaitat,bgekoeln,1,1
chzamaitat,mmittelbach,1,1
chzamaitat,paritaet,1,1
chzamaitat,susannewiest,1,1
chzamaitat,ulrichschneider,1,1
citizenjw,netzfall,1,1
clemensprill,senficon,1,1
clydevpg,drumheadberlin,1,1
clydevpg,kn,1,1
clydevpg,profraika,1,1
clydevpg,welt,1,1
consertum,badeninderspree,1,1
contraafd1,cdu,1,1
contraafd1,maltekaufmann,1,1
d_herrmann,siegstyle,1,1
dabbelu,wasistzeitgeist,1,1
dalfionavar,der,1,1
daniengel6,maxotte,1,1
danmckay27,afd,1,1
danmckay27,hugomuellervogg,1,1
davidalbrechtda,b,1,1
daytona_78m,autortoto,1,1
daytona_78m,dpolgthueringen,1,1
daytona_78m,welt,1,1
dduric,"welt
",1,1
dede71mueller,juliakloeckner,1,1
definemann,markuspreiss,1,1
definemann,tagesthemen,1,1
dejomueller,einfachich2017,1,1
dejomueller,mvoettingen,1,1
delonghi75,spdde,1,1
der_nalin,cdu,1,1
der_nalin,die,1,1
der_twb,regsprecher,1,1
derf_red,barbarasteibl1,1,1
derf_red,f,1,1
derfreitag,derfreitag,3,3
derlord007,marty27,1,1
derlord007,peta,1,1
derlord007,rstrohmi,1,1
derpino2018,maybritillner,1,1
derrealist4,bild,1,1
derschmidtjens,bb12,1,1
derschmidtjens,cdu,1,1
derschmidtjens,junge,1,1
derschmidtjens,patricklenart,1,1
derschmidtjens,sommersturm24,1,1
derweggefaehrte,"afdimbundestag
das",1,1
derweggefaehrte,tagesschau,1,1
devilshot1958,spiegelonline,1,1
die_gennburg,boehningb,1,1
die_gennburg,cduberlin,1,1
diebajuwaren,norgeprivacy,1,1
dieerbin,dfb,1,1
dierkschaefer,kjh,1,1
dierkschaefer,ritter,1,1
dietherast,cdu,1,1
dietherast,csu,1,1
dietherast,dlf,1,1
dimabo15,cdu,1,1
dirries,deutsch365,1,1
djjem,abc,1,1
djjem,afdkompakt,1,1
djjem,anicca,1,1
djjem,apvogt,2,2
djjem,ardde,1,1
djjem,auemicha,1,1
djjem,augstein,8,8
djjem,axorcreex,1,1
djjem,bdsteuerzahler,1,1
djjem,bild,35,35
djjem,blueturk7,1,1
djjem,bolzandrea,3,3
djjem,boraetlabora,4,4
djjem,borsametin,1,1
djjem,bundesm59769862,2,2
djjem,cjjacobsjacobs,2,2
djjem,cnn,1,1
djjem,cybercosmonaut,1,1
djjem,daftlove185,2,2
djjem,dam,1,1
djjem,dekaydin,1,1
djjem,devletbahceli,1,1
djjem,deyakokurd,1,1
djjem,dielinke,20,20
djjem,diezeit,1,1
djjem,dpa,12,12
djjem,drumheadberlin,1,1
djjem,efdlan,1,1
djjem,epa,1,1
djjem,eparesearch,1,1
djjem,eucouncilpress,1,1
djjem,faznet,1,1
djjem,fdp,1,1
djjem,fildorn,1,1
djjem,fotobiene,1,1
djjem,fraumantje,1,1
djjem,friedrich,1,1
djjem,frittenfezt,1,1
djjem,funkenstrecke,1,1
djjem,gdgeldeintreiba,1,1
djjem,gefrkamnitzer,1,1
djjem,gemarkung99,1,1
djjem,gothdad,2,2
djjem,guelmenm,4,4
djjem,guenther,1,1
djjem,haciali1,1,1
djjem,harmneitzel,1,1
djjem,hasekornelia,4,4
djjem,heinirasche,1,1
djjem,heutede,1,1
djjem,interior,1,1
djjem,januwatn,3,3
djjem,jazzlover2017,2,2
djjem,jeffwalkers,1,1
djjem,jrv22891319,1,1
djjem,jusos,1,1
djjem,karinpliwi,1,1
djjem,kindofcurly,1,1
djjem,kwitrin,1,1
djjem,lenin1917stalin,1,1
djjem,lenlabi,1,1
djjem,liliablossom,2,2
djjem,liz,1,1
djjem,lovebomb11,3,3
djjem,marcello,1,1
djjem,mareliberumgo,4,4
djjem,markus,1,1
djjem,mrmontybrogan,3,3
djjem,muchmanfred,1,1
djjem,n24,1,1
djjem,nachdenkseiten,1,1
djjem,netzpolitik,1,1
djjem,nordhausenfrank,1,1
djjem,ntv,3,3
djjem,ntvde,1,1
djjem,oberguru55,1,1
djjem,peter,1,1
djjem,petertauber,1,1
djjem,petethe1of9,1,1
djjem,phoenix,13,13
djjem,pieinsky322,1,1
djjem,primitivitaet,1,1
djjem,prinzessinhild1,1,1
djjem,profdrm,1,1
djjem,rainerhohn9,1,1
djjem,rainerholz1,1,1
djjem,ronaiveromaus,1,1
djjem,rspctfl,1,1
djjem,rt,1,1
djjem,rudisagmal,2,2
djjem,ruediwidmer,1,1
djjem,rundkuchenmann,1,1
djjem,sabah,1,1
djjem,schwarzenbach,1,1
djjem,seinu,3,3
djjem,sir,1,1
djjem,sirschnee,1,1
djjem,spiegelonline,1,1
djjem,steffmann45,2,2
djjem,strack,1,1
djjem,swagenknecht,8,8
djjem,tagesschau,45,45
djjem,tagesspiegel,1,1
djjem,tazgezwitscher,2,2
djjem,teamkenfm,7,7
djjem,thesnake69,1,1
djjem,thomasmichael71,1,1
djjem,timesofisrael,1,1
djjem,vendetta,1,1
djjem,vigilante3591,1,1
djjem,washingtonpost,1,1
djjem,welt,4,4
djjem,weltnetztv,1,1
djjem,weltnews,1,1
djjem,whitehouse,1,1
djjem,wookie,4,4
djjem,wsj,1,1
djjem,x9donernesto,1,1
djjem,zdfheute,1,1
djjem,zomgtomtom,1,1
dmeyermeppen,welt,1,1
doc_rd,lawyerberlin,1,1
doctailleur,gebruenn,1,1
doctailleur,kurzgesagt,1,1
domdelom,afdimbundestag,1,1
domdelom,beatrix,1,1
domdelom,stbrandner,1,1
donfpjudgement,avalasek1,1,1
donfpjudgement,nickycolin1,1,1
drberlecoach,af,1,1
drberlecoach,cdu,1,1
drberlecoach,drdavidberger,1,1
drberlecoach,maltekaufmann,1,1
drberlecoach,medienarbeiter,1,1
drdavidberger,drdavidberger,1,1
drhanspfeiffer,cdu,1,1
druzim,luna,1,1
druzim,siegstyle,1,1
druzim,thecuriousdude,1,1
druzim,tschmitz,1,1
drwetti,cdu,1,1
drwetti,faznet,1,1
drwetti,holgermelas,1,1
drwetti,welt,1,1
dslawfox,bundestag,1,1
duezentekkal,richardgrenell,1,1
duhugonotte,66freedom66,1,1
durchblicker_k,piratenhessen,1,1
dvdkrdn,fdpxhain,1,1
dvdkrdn,linkexhain,1,1
e_tahirovic,christwarrior,1,1
e_tahirovic,hartung612,1,1
e_tahirovic,ismailtipi,15,15
e_tahirovic,kytti70,1,1
e_tahirovic,objektivmann01,1,1
e_tahirovic,rheynkiesel,1,1
e_tahirovic,ricobarberis,1,1
e_tahirovic,rolandtichy,2,2
e_tahirovic,tichyseinblick,7,7
eckleben,pbahners,1,1
eiauo123,sarahrambatz,1,1
el_sedro,bild,1,1
el_sedro,derspiegel,1,1
el_sedro,diezeit,1,1
el_sedro,dummerig,1,1
el_sedro,focusonline,2,2
el_sedro,gruenebundestag,1,1
el_sedro,insm,1,1
el_sedro,jreichelt,1,1
el_sedro,konstantinnotz,1,1
el_sedro,maybritillner,1,1
el_sedro,mosebachemil,1,1
el_sedro,roberthabeck,1,1
el_sedro,sz,11,11
el_sedro,"sz
p",1,1
el_sedro,thomaswalde,1,1
el_sedro,tiefseher,1,1
el_sedro,welt,6,6
el_sedro,wiwo,2,2
el_sedro,zacys,1,1
el_sedro,zdfheute,1,1
el_sedro,zeitonline,1,1
elektroflitzer,cdu,1,1
elias7477,pschapertons,1,1
elias7477,tagesschau,1,1
elvishasleftth1,afd,1,1
elvishasleftth1,afdberlin,1,1
elvishasleftth1,afdfraktionagh,1,1
elvishasleftth1,cdu,1,1
elvishasleftth1,cduberlin,1,1
elvishasleftth1,csu,1,1
elvishasleftth1,fdp,1,1
elvishasleftth1,fdpfraktionbln,1,1
elvishasleftth1,frankhansel,1,1
elvishasleftth1,hpfriedrichcsu,1,1
endzeitlos,croqisunshine,1,1
endzeitlos,jamsession4444,1,1
endzeitlos,libra08101,1,1
engelgert,aka,1,1
engelgert,anina,1,1
engelgert,helal,1,1
engelgert,mentalisanalis,1,1
engelgert,theredowl2,1,1
engelgert,vonosterhal,1,1
engelgert,wucebrain,1,1
er_mensch,andreaschlegel3,1,1
er_mensch,fffrauki,1,1
erhardtresch,cdu,1,1
ericcthielen,jetzttrierer,1,1
erice2017,maxotte,2,2
eusebius217,renner,1,1
evamariaanna,maltekaufmann,1,1
exceladdins,bruellglatze,1,1
exceladdins,dw,1,1
exspiesser,carstenspallek,1,1
exspiesser,europarl,1,1
eysvog3l,and,1,1
eysvog3l,wk,1,1
f_von_steiner,commodus1,1,1
f_von_steiner,mann08932749,1,1
faz_net,philipp,1,1
faz_politik,philipp,1,1
faz_top,philipp,1,1
fdpamhackeschen,c,1,1
felicitasophie,nminkmar,1,1
felicitasophie,taltgeld,1,1
felicitasophie,tazgezwitscher,1,1
ferkelfabrikat,hhoeppe,1,1
fightyourright,martinschulz,2,2
fightyourright,welt,1,1
fleigst,cdu,1,1
fleigst,ralflorenz8,1,1
flo_hamburg,bild,1,1
flo_hamburg,birdie51411736,1,1
flo_hamburg,bismarckssohn,1,1
flo_hamburg,drumheadberlin,1,1
flo_hamburg,joemino,1,1
flugeldr,bmas,1,1
flugeldr,cducsubt,1,1
flugeldr,faz,1,1
flugeldr,hubertus,1,1
flugeldr,humunion,1,1
flugeldr,karlbau35787590,1,1
flugeldr,katarinabarley,1,1
flugeldr,saschanitram,1,1
foertsch,faznet,1,1
francis_berlin,fr,3,3
francis_berlin,spiegel,2,2
francis_berlin,sz,1,1
francis_berlin,wordpressdotcom,1,1
francis_berlin,zeitonline,2,2
frank14467,landkaufhalina,1,1
frank14467,shuggy35312948,1,1
frank14467,zdfheute,1,1
frankhansel,marcuspretzell,1,1
franzenglert,afgveteran,1,1
franzenglert,armin,1,1
franzenglert,bild,2,2
franzenglert,dersteuerzahler,1,1
franzenglert,drumheadberlin,1,1
franzenglert,hebahelmut,1,1
franzenglert,junge,1,1
franzenglert,krippmarie,1,1
franzenglert,larissawalter5,1,1
franzenglert,marionhorn,1,1
franzenglert,wahemue,1,1
franzenglert,wolfwal,1,1
frauhoewelhans,heutejournal,1,1
frauhoewelhans,philipp,1,1
frawilde1968,cducsubt,1,1
frawilde1968,fdpbt,1,1
frawilde1968,gruenebundestag,1,1
fredfeu47054060,vonschwer,1,1
freediver_doris,thomaswright08,1,1
freiheizstatue,barbarella9876,1,1
fremer59,afd,1,1
fremer59,joerg,1,1
frevel_berlin,sz,1,1
freyarheden,gefrkamnitzer,1,1
freyarheden,torstenbeeck,1,1
friederikea4,cdu,1,1
friendoffacts17,watch,1,1
frlloewenherz,welt,1,1
frodilon,tagesschau,1,1
fuxmichael,annewill,1,1
fwfo,cdu,1,1
gagaberlin,quotenqueen,1,1
galdregons,cdu,1,1
garafat87,frankenfeld1,1,1
gedaechtnisjahr,cducsubt,1,1
gedaechtnisjahr,fotiama,1,1
gedaechtnisjahr,hhirte,2,2
gedaechtnisjahr,peteraltmaier,1,1
gedaechtnisjahr,spdbt,1,1
gedaechtnisjahr,stachomike,1,1
gedaechtnisjahr,wastie84,1,1
gefluechteter,afd,1,1
gefluechteter,afdimbundestag,1,1
gefluechteter,afdkompakt,1,1
gefluechteter,bavaria1984,1,1
gefluechteter,bildamsonntag,2,2
gefluechteter,cdu,2,2
gefluechteter,fridolinos136,1,1
gefluechteter,maxotte,1,1
gefluechteter,nrw,1,1
gefluechteter,opinionrings,1,1
gefluechteter,steinbacherika,1,1
gefluechteter,steinhoefel,1,1
gefluechteter,wilfriedwaltke,1,1
geliebte_macke,joanacotar,1,1
geliebte_macke,sir,1,1
georg_bach,a,1,1
georg_bach,artepmobil,1,1
georg_bach,beatrix,1,1
georg_bach,bild,1,1
georg_bach,bz,1,1
georg_bach,bzberlin,1,1
georg_bach,cdu,1,1
georg_bach,cdusachsen,1,1
georg_bach,conradclemens,1,1
georg_bach,dannygodan,1,1
georg_bach,darkgermany,1,1
georg_bach,de,1,1
georg_bach,finkeldeyherwig,1,1
georg_bach,georg,1,1
georg_bach,handelsblatt,1,1
georg_bach,haz,1,1
georg_bach,jost2018,1,1
georg_bach,juliakloeckner,2,2
georg_bach,karlheppner,1,1
georg_bach,krippmarie,1,1
georg_bach,nicolangecdu,1,1
georg_bach,reporter,1,1
georg_bach,rolandtichy,1,1
georg_bach,rt,1,1
georg_bach,somext,1,1
georg_bach,thomasmichael71,1,1
georg_bach,tznuut,1,1
georg_bach,vonschwer,2,2
georg_bach,welt,3,3
georg_bach,werwohlf,1,1
georg_bach,wirtschaftde,1,1
georgeorwells84,lesersh,1,1
georgeorwells84,watchingyou81,1,1
georgeorwells84,welt,1,1
georgkasperle,gerhard42833386,1,1
georgkasperle,sternchen1854,1,1
germansexgirls,annyauroraporn,1,1
gfschulze,christophcolla2,1,1
gfschulze,gerdalbert,1,1
gfschulze,mrmacsimon,1,1
giselagrove,bildamsonntag,1,1
giselagrove,cdu,1,1
giselagrove,chrothenberg,1,1
giselagrove,maxotte,1,1
giselagrove,ntvde,1,1
giselagrove,realmartinhagen,1,1
giselagrove,rippedflower,1,1
giselagrove,welt,1,1
giselagrove,wirtschaftcom,1,1
giselahaaase,oti28908737,1,1
giselahaaase,tagesschau,1,1
gitarre159,spdbt,1,1
glaubengebete,e,1,1
glaubengebete,vanberlichingen,1,1
glubbdidi,guterxjunge,1,1
glubbdidi,morgentau100,1,1
glubbdidi,spdbt,1,1
gomander2,maltekaufmann,1,1
goodmengroup,abakusnews,1,1
goodmengroup,rumpfwerk,1,1
goodmengroup,terminede,1,1
gothdad,"prognosumfragen
folge",1,1
gothdad,"prognosumfragen
mehr
",1,1
grals_hueter,cdu,1,1
grals_hueter,chrismortuusiv,1,1
grals_hueter,hallaschka,1,1
grals_hueter,junge,1,1
grals_hueter,lillyheidelberg,1,1
grals_hueter,maltekaufmann,1,1
grals_hueter,petra58249513,1,1
grals_hueter,spiegelonline,1,1
grals_hueter,xenia,1,1
granata64,michaelb2861,2,2
graut_vor_nix,christianblex,1,1
gregormodos,cdu,1,1
gregormodos,maxotte,1,1
grossobringen,olegscheff,1,1
gruenmeyer,stephanweil,1,1
gruenmeyer,"topagrar
trinkwasser",1,1
grumblinator,hamburgonline,1,1
guenterb_,weissafd,1,1
gunnar2steinolf,afd,2,2
gunnar2steinolf,jockwurst,1,1
h_huebener,benedictneff,1,1
h_huebener,drumheadberlin,1,1
h_huebener,handelsblatt,1,1
h_huebener,hugomuellervogg,1,1
h_huebener,larsklingbeil,1,1
h_huebener,mgrossebroemer,1,1
haanmattern,dpa,1,1
haanmattern,jmaxblank,1,1
haanmattern,ob,1,1
haanmattern,rtlde,1,1
haanmattern,wdr5,3,3
haegelen,cdu,1,1
haegelen,tagesspiegel,1,1
halegga1,saartext,1,1
halegga1,stbrandner,1,1
halegga1,tobiashans,1,1
hallaschka_hh,cdu,1,1
hallaschka_hh,prienkarin,1,1
halle_leaks,halle,1,1
hamaro777,bild,1,1
hamaro777,sandromattioli,1,1
hamaro777,weissafd,1,1
handelsblatt,jensspahn,1,1
hankimanki1,cjjacobsjacobs,1,1
hankimanki1,handelsblatt,1,1
hans_ug,afd,1,1
hans_ug,augstein,1,1
hans_ug,deppendorfu,1,1
hans_ug,frau,1,1
hans_ug,juergen,1,1
hans_ug,lillyheidelberg,1,1
hans_ug,ludhell123,1,1
hans_ug,regsprecher,1,1
hansgurk,arminlaschet,1,1
harzerkas,bildungth,3,3
harzerkas,cdu,1,1
harzerkas,chr,3,3
harzerkas,helmutholter,3,3
harzerkas,martinroeckert,1,1
harzerkas,osmanirc89,3,3
harzerkas,timo,3,3
harzerkas,torstenwolf,3,3
hdberretz,alicologne,1,1
hdberretz,feinerlumpi,1,1
hdberretz,hdberretz,1,1
hdberretz,oklara,1,1
hdberretz,petronella108,1,1
hdberretz,stefaneich1,1,1
heatequation,maxotte,1,1
heblog,haraldhaerke,1,1
heblog,stefanschostok,1,1
heechspate,focusonline,1,1
heechspate,nie,1,1
heechspate,weltnews,1,1
hejasolar,66freedom66,1,1
helldog68,bildamsonntag,1,1
helldog68,cdu,1,1
helrafter,arminlaschet,1,1
helrafter,cdu,3,3
helrafter,cdusprecherin,1,1
helrafter,kritikkultur,1,1
helrafter,petertauber,1,1
helrafter,saschalobo,1,1
helrafter,tagesschau,1,1
helrafter,ulfposh,1,1
helrafter,welt,1,1
hermeshh2,moohten,1,1
hermeshh2,ndr,1,1
herr_laisen,cducsubt,1,1
herr_laisen,hhoeppe,1,1
herr_laisen,kahrs,1,1
herr_laisen,seeheimer,1,1
herr_laisen,spdde,1,1
herr_t_punkt,cdu,1,1
herrenloserhund,annewill,1,1
herrenloserhund,avsbes,1,1
herrenloserhund,maximiliam,1,1
herrstetter,sz,1,1
hessenspd,schoeneckpatrik,1,1
hessenspd,spdde,1,1
hessenspd,tsghessen,1,1
heutesnow,die,1,1
hogni732,maxotte,1,1
houelle_beck,5y5t3m,2,2
houelle_beck,dielinke,3,3
houelle_beck,handelsblatt,1,1
houelle_beck,lgrenouillevert,1,1
houelle_beck,strehlewerner,1,1
houelle_beck,thomassigmundhb,1,1
houelle_beck,ybunnyari,1,1
hptfw,borispistorius,1,1
hptfw,hugomuellervogg,1,1
